depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,1.82,Kz7s1,1680,140.0,-3.35,0.02,0.02,0.5672320069
1.8900000000000001,0.4,Vk4,30,7.5,-5.17,0.012,0.012,0.2617993878
2.29,7.999,Kz3s1,1680,140.0,-5.57,0.02,0.02,0.5672320069
10.289,1.7000000000000002,Zs1,1000000000,450.0,-13.569,0.018000000000000002,0.02,0.471238898
11.989,1.299,Kz3v2,320,25.0,-15.269,0.018000000000000002,0.018000000000000002,0.4799655443
13.288,1.399,Zk2v1,1000000000,450.0,-16.568,0.018000000000000002,0.02,0.471238898
14.687,3.398,Zg2s1,1000000000,600.0,-17.967,0.018000000000000002,0.02,0.5672320069
18.085,4.395,Zg1,1000000000,600.0,-21.365,0.018000000000000002,0.02,0.5672320069
22.48,3.094,Z,1000000000,200.0,-25.76,0.017,0.019,0.5235987756
25.574,3.193,Zk1s1,1000000000,450.0,-28.854,0.018000000000000002,0.02,0.471238898
28.767,11.061,Zk8s1,1000000000,200.0,-32.047,0.018000000000000002,0.02,0.436332313
39.828,0.06,Zk2s1,1000000000,450.0,-43.108,0.018000000000000002,0.02,0.471238898
