depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.21,0.8200000000000001,Zg5k1,1000000000,1500.0,-3.48,0.02,0.022,0.6981317008
1.03,1.5,Zs1,1000000000,650.0,-4.3,0.019,0.021,0.5672320069
2.5300000000000002,4.5,Kv1z1,60,15.0,-5.8,0.016,0.016,0.2617993878
7.03,2.899,Zk7s1,1000000000,200.0,-10.3,0.018000000000000002,0.02,0.436332313
9.929,1.8,Zs1,1000000000,450.0,-13.199,0.018000000000000002,0.02,0.471238898
11.729,0.899,Zs1,1000000000,450.0,-14.999,0.018000000000000002,0.02,0.471238898
12.628,0.5,Kv3z2,40,10.0,-15.898,0.015,0.015,0.2617993878
13.128,0.5,Vk3,30,7.5,-16.398,0.012,0.012,0.2617993878
13.628,1.299,Zs1,1000000000,450.0,-16.898,0.018000000000000002,0.02,0.471238898
14.927,2.995,Zg2s1,1000000000,600.0,-18.197,0.018000000000000002,0.02,0.5672320069
17.922,1.099,Zg1s1,1000000000,600.0,-21.192,0.018000000000000002,0.02,0.5672320069
19.021,1.896,Zg2,1000000000,200.0,-22.291,0.017,0.019,0.5235987756
20.917,4.586,Z,1000000000,200.0,-24.187,0.017,0.019,0.5235987756
25.503,2.091,Zk1,1000000000,450.0,-28.773,0.018000000000000002,0.02,0.471238898
27.594,12.168,Zk7s1,1000000000,200.0,-30.864,0.018000000000000002,0.02,0.436332313
39.762,0.059000000000000004,Zk5s1,1000000000,200.0,-43.032,0.018000000000000002,0.02,0.436332313
