depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,1.7189999999999999,Zk3s1,1000000000,400.0,-3.44,0.019,0.021,0.5235987756
1.7890000000000001,0.8,Vk3,30,7.5,-5.159,0.012,0.012,0.2617993878
2.589,6.899,Kz2v1,600,50.0,-5.959,0.021,0.021,0.4799655443
9.488,1.699,Zs1g1,1000000000,450.0,-12.858,0.018000000000000002,0.02,0.471238898
11.187,1.1,Zs1,1000000000,450.0,-14.557,0.018000000000000002,0.02,0.471238898
12.287,1.4,Kz6v3,320,25.0,-15.657,0.018000000000000002,0.018000000000000002,0.4799655443
13.687,1.1,Zk1s1,1000000000,450.0,-17.057,0.018000000000000002,0.02,0.471238898
14.787,1.6,Zg1s1,1000000000,600.0,-18.157,0.018000000000000002,0.02,0.5672320069
16.387,1.999,Zg3s1,1000000000,600.0,-19.757,0.018000000000000002,0.02,0.5672320069
18.386,7.194,Z,1000000000,600.0,-21.756,0.018000000000000002,0.02,0.5672320069
25.58,3.195,Zk1s1,1000000000,450.0,-28.95,0.018000000000000002,0.02,0.471238898
28.775,11.052,Kz6s1,320,25.0,-32.145,0.018000000000000002,0.018000000000000002,0.4799655443
39.827,0.059000000000000004,Zk7s1,1000000000,200.0,-43.197,0.018000000000000002,0.02,0.436332313
