depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,0.62,Zk7s1,1000000000,400.0,-3.66,0.019,0.021,0.5235987756
0.6900000000000001,0.6000000000000001,Kv4z1,60,15.0,-4.28,0.016,0.016,0.2617993878
1.29,0.6000000000000001,Vk2,30,7.5,-4.88,0.012,0.012,0.2617993878
1.8900000000000001,7.3,Kz3v1,1680,140.0,-5.48,0.02,0.02,0.5672320069
9.19,2.7,Zs1g1,1000000000,450.0,-12.78,0.018000000000000002,0.02,0.471238898
11.89,1.599,Zk7s1,1000000000,200.0,-15.48,0.018000000000000002,0.02,0.436332313
13.489,1.0,Zs1,1000000000,450.0,-17.079,0.018000000000000002,0.02,0.471238898
14.489,3.0,Zg3s1,1000000000,600.0,-18.079,0.018000000000000002,0.02,0.5672320069
17.489,2.899,Zg1s1,1000000000,600.0,-21.079,0.018000000000000002,0.02,0.5672320069
20.388,4.498,Z,1000000000,200.0,-23.978,0.017,0.019,0.5235987756
24.886,0.6990000000000001,Zg1,1000000000,200.0,-28.476,0.017,0.019,0.5235987756
25.585,2.898,Zk1s1,1000000000,450.0,-29.175,0.018000000000000002,0.02,0.471238898
28.483,3.396,Kz5s1,320,25.0,-32.073,0.018000000000000002,0.018000000000000002,0.4799655443
31.879,7.961,Kz5s1,320,25.0,-35.469,0.018000000000000002,0.018000000000000002,0.4799655443
39.84,0.06,Zk5s1,1000000000,200.0,-43.43,0.018000000000000002,0.02,0.436332313
