depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,9.119,Kz2v1,600,50,-3.63,0.021,0.021,0.4799655443
9.189,2.4,Zs1,1000000000,450,-12.749,0.018000000000000002,0.02,0.471238898
11.589,0.7000000000000001,Zs1,1000000000,450,-15.149,0.018000000000000002,0.02,0.471238898
12.289,1.1,Kz5v2,320,25,-15.849,0.018000000000000002,0.018000000000000002,0.4799655443
13.389,0.7000000000000001,Zk1s1,1000000000,450,-16.949,0.018000000000000002,0.02,0.471238898
14.089,0.899,Zs1g1,1000000000,450,-17.649,0.018000000000000002,0.02,0.471238898
14.988,3.099,Zg2s1,1000000000,600,-18.548000000000002,0.018000000000000002,0.02,0.5672320069
18.087,6.298,Z,1000000000,200,-21.647,0.017,0.019,0.5235987756
24.385,1.199,Zg2,1000000000,200,-27.945,0.017,0.019,0.5235987756
25.584,1.499,Z,1000000000,200,-29.144,0.017,0.019,0.5235987756
27.083,12.783,Zk8s1,1000000000,200,-30.643,0.018000000000000002,0.02,0.436332313
39.866,0.059000000000000004,Zk3s1,1000000000,200,-43.426,0.018000000000000002,0.02,0.436332313
