depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,1.54,Kz6s1,1680,140.0,-4.08,0.02,0.02,0.5672320069
1.6099999999999999,0.5,Vk6,30,7.5,-5.62,0.012,0.012,0.2617993878
2.11,6.72,Kz4s1,1680,140.0,-6.12,0.02,0.02,0.5672320069
8.83,2.8200000000000003,Zs1,1000000000,450.0,-12.84,0.018000000000000002,0.02,0.471238898
11.65,0.5,Kz4v3,320,25.0,-15.66,0.018000000000000002,0.018000000000000002,0.4799655443
12.15,2.04,Zk4s1,1000000000,200.0,-16.16,0.018000000000000002,0.02,0.436332313
14.19,3.22,Zg3s1,1000000000,600.0,-18.2,0.018000000000000002,0.02,0.5672320069
17.41,3.0,Zg1s1,1000000000,600.0,-21.42,0.018000000000000002,0.02,0.5672320069
20.41,4.599,Z,1000000000,200.0,-24.42,0.017,0.019,0.5235987756
25.009,3.2,Zk1s1,1000000000,450.0,-29.019,0.018000000000000002,0.02,0.471238898
28.209,11.176,Zk7s1,1000000000,200.0,-32.219,0.018000000000000002,0.02,0.436332313
39.385,4.018,Zk2s1,1000000000,450.0,-43.395,0.018000000000000002,0.02,0.471238898
43.403,2.799,Zk1s1,1000000000,450.0,-47.413,0.018000000000000002,0.02,0.471238898
46.202,9.438,Z,1000000000,200.0,-50.212,0.017,0.019,0.5235987756
55.64,3.298,Zk2s1,1000000000,450.0,-59.65,0.018000000000000002,0.02,0.471238898
58.938,1.799,Z,1000000000,200.0,-62.948,0.017,0.019,0.5235987756
60.737,1.699,Z,1000000000,200.0,-64.747,0.017,0.019,0.5235987756
62.436,3.035,Z,1000000000,200.0,-66.446,0.017,0.019,0.5235987756
65.471,4.7059999999999995,Z,1000000000,200.0,-69.481,0.017,0.019,0.5235987756
70.177,6.175,Z,1000000000,200.0,-74.187,0.017,0.019,0.5235987756
76.352,0.06,Z,1000000000,200.0,-80.362,0.017,0.019,0.5235987756
