depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,0.32,Vk6,30,7.5,-3.62,0.012,0.012,0.2617993878
0.39,1.3,Zk5s1,1000000000,400.0,-3.94,0.019,0.021,0.5235987756
1.69,5.499,Kv3,60,15.0,-5.24,0.016,0.016,0.2617993878
7.189,2.2,Kz7v1,320,25.0,-10.739,0.018000000000000002,0.018000000000000002,0.4799655443
9.389,1.6,Zs1,1000000000,450.0,-12.939,0.018000000000000002,0.02,0.471238898
10.989,1.1,Zk2s1,1000000000,450.0,-14.539,0.018000000000000002,0.02,0.471238898
12.089,0.5,Kv7,40,10.0,-15.639,0.015,0.015,0.2617993878
12.589,1.5,Zk6s1,1000000000,200.0,-16.139,0.018000000000000002,0.02,0.436332313
14.089,0.799,Z,1000000000,600.0,-17.639,0.018000000000000002,0.02,0.5672320069
14.888,1.0,Zs1,1000000000,450.0,-18.438,0.018000000000000002,0.02,0.471238898
15.888,2.599,Zg3s1,1000000000,600.0,-19.438,0.018000000000000002,0.02,0.5672320069
18.487,3.398,Zg1,1000000000,600.0,-22.037,0.018000000000000002,0.02,0.5672320069
21.885,3.497,Z,1000000000,200.0,-25.435,0.017,0.019,0.5235987756
25.382,2.697,Zk2s1,1000000000,450.0,-28.932,0.018000000000000002,0.02,0.471238898
28.079,11.772,Zk8s1,1000000000,200.0,-31.629,0.018000000000000002,0.02,0.436332313
39.851,0.059000000000000004,Zk5s1,1000000000,200.0,-43.401,0.018000000000000002,0.02,0.436332313
