depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,1.32,Kv3z1,60,15.0,-4.19,0.016,0.016,0.2617993878
1.3900000000000001,0.8,Vk1,30,7.5,-5.51,0.012,0.012,0.2617993878
2.19,6.5,Kz2s1,600,50.0,-6.31,0.021,0.021,0.4799655443
8.69,1.4,Zg2s1,1000000000,600.0,-12.81,0.018000000000000002,0.02,0.5672320069
10.09,1.6,Zs1,1000000000,450.0,-14.21,0.018000000000000002,0.02,0.471238898
11.69,2.299,Zk4s1,1000000000,200.0,-15.81,0.018000000000000002,0.02,0.436332313
13.989,1.7000000000000002,Zg1s1,1000000000,600.0,-18.109,0.018000000000000002,0.02,0.5672320069
15.689,2.5,Zg2s1,1000000000,600.0,-19.809,0.018000000000000002,0.02,0.5672320069
18.189,6.797,Z,1000000000,600.0,-22.309,0.018000000000000002,0.02,0.5672320069
24.986,1.698,Z,1000000000,200.0,-29.106,0.017,0.019,0.5235987756
26.684,12.963,Zk7s1,1000000000,200.0,-30.804,0.018000000000000002,0.02,0.436332313
39.647,3.783,Zk1s1,1000000000,450.0,-43.767,0.018000000000000002,0.02,0.471238898
43.43,2.6870000000000003,Zk1s1,1000000000,450.0,-47.55,0.018000000000000002,0.02,0.471238898
46.117,9.249,Z,1000000000,200.0,-50.237,0.017,0.019,0.5235987756
55.366,3.398,Zk1,1000000000,450.0,-59.486,0.018000000000000002,0.02,0.471238898
58.764,0.06,Z,1000000000,200.0,-62.884,0.017,0.019,0.5235987756
