depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,1.02,Zk2s1,1000000000,650.0,-3.4,0.019,0.021,0.5672320069
1.09,0.799,Kv4z2,60,15.0,-4.42,0.016,0.016,0.2617993878
1.889,0.7000000000000001,Vk2,30,7.5,-5.219,0.012,0.012,0.2617993878
2.589,7.298,Kz3s1,1680,140.0,-5.9190000000000005,0.02,0.02,0.5672320069
9.887,1.7000000000000002,Zs1g1,1000000000,450.0,-13.217,0.018000000000000002,0.02,0.471238898
11.587,0.9,Zk4s1,1000000000,200.0,-14.917,0.018000000000000002,0.02,0.436332313
12.487,1.2,Kv7,40,10.0,-15.817,0.015,0.015,0.2617993878
13.687,2.1,Zs1,1000000000,450.0,-17.017,0.018000000000000002,0.02,0.471238898
15.787,2.799,Zg2s1,1000000000,600.0,-19.117,0.018000000000000002,0.02,0.5672320069
18.586,7.0,Z,1000000000,600.0,-21.916,0.018000000000000002,0.02,0.5672320069
25.586,1.799,Zk1,1000000000,450.0,-28.916,0.018000000000000002,0.02,0.471238898
27.385,4.698,Zk8s1,1000000000,200.0,-30.715,0.018000000000000002,0.02,0.436332313
32.083,7.786,Kz6s1,320,25.0,-35.413,0.018000000000000002,0.018000000000000002,0.4799655443
39.869,0.06,Zk6s1,1000000000,200.0,-43.199,0.018000000000000002,0.02,0.436332313
